t,x_raw,a,b,y,x_hat,omega,F,S,C,tau_R,U,IC,kappa,d_kappa_d_omega,d_kappa_d_C,d_kappa_d_tauR,regime,near_wall,OOR,tags
idx:14,0.4974676629508534,0.3600580727865211,0.5542978409658479,0.24789847625042175,0.24789847625042175,0.001815658773913681,0.9981843412260863,0.0018172990620136192,4.664702550614283e-05,1,2.3323512753071414e-05,0.9945397210764197,-0.005475240735172942,-3.0054568741229275,-0.5,1.1661756376535707e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:15,0.5047401851786518,0.3600580727865211,0.5542978409658479,0.26101871899776186,0.26101871899776186,0.01312024274734011,0.9868797572526599,0.013207063328891214,0.00017170371075939138,1,8.585185537969569e-05,0.9610709320132853,-0.03970706210794664,-3.0398840059468055,-0.5,4.2925927689847846e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:16,0.5088747239431307,0.3600580727865211,0.5542978409658479,0.26847777522874877,0.26847777522874877,0.007459056230986916,0.9925409437690131,0.007487004028757554,0.0003268930663403475,1,0.00016344653317017376,0.9776295354970098,-0.02262447876974493,-3.0225453254661927,-0.5,8.172326658508688e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:17,0.5044158520498465,0.3600580727865211,0.5542978409658479,0.2604335947110784,0.2604335947110784,0.008044180517670363,0.9919558194823297,0.008076699420131034,7.406013515147658e-05,1,3.703006757573829e-05,0.976024931339417,-0.02426714849015692,-3.0243282321610803,-0.5,1.8515033787869144e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:18,0.5061466739062881,0.3600580727865211,0.5542978409658479,0.26355614314717857,0.26355614314717857,0.0031225484361001588,0.9968774515638998,0.0031274237315751826,1.3470430798725245e-05,1,6.735215399362622e-06,0.9906549128130484,-0.009389026472771393,-3.0093969777932834,-0.5,3.367607699681311e-06,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:19,0.5123319352414153,0.3600580727865211,0.5542978409658479,0.2747148756516198,0.2747148756516198,0.011158732504441216,0.9888412674955588,0.01122144811000375,0.000122457906031107,1,6.12289530155535e-05,0.9668367745268909,-0.03372559350871983,-3.0338539546223027,-0.5,3.061447650777675e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:20,0.5038664213290495,0.3600580727865211,0.5542978409658479,0.2594423754058766,0.2594423754058766,0.01527250024574317,0.9847274997542568,0.015390315925302244,8.371828816553549e-05,1,4.1859144082767744e-05,0.9548387248831828,-0.04621282723017675,-3.046528090859186,-0.5,2.0929572041383872e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:21,0.500585012699708,0.3600580727865211,0.5542978409658479,0.2535224378076646,0.2535224378076646,0.005919937598212022,0.994080062401788,0.00593751983379678,0.00019494677525893993,1,9.747338762946997e-05,0.9822493787618867,-0.017910053008123553,-3.017865565767573,-0.5,4.873669381473498e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:22,0.512333340797643,0.3600580727865211,0.5542978409658479,0.27471741139346084,0.27471741139346084,0.02119497358579625,0.9788050264142037,0.021422801928080597,0.00022751787871819358,1,0.00011375893935909679,0.9376465764393734,-0.06438218515667915,-3.0649617736146553,-0.5,5.6879469679548396e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:23,0.5059400546790186,0.3600580727865211,0.5542978409658479,0.26318338465526475,0.26318338465526475,0.01153402673819609,0.988465973261804,0.011601049445324432,8.01209389978618e-05,1,4.00604694989309e-05,0.9657568070132975,-0.03484322903884424,-3.035005828254964,-0.5,2.003023474946545e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:24,0.4981492701813882,0.3600580727865211,0.5542978409658479,0.24912815311394185,0.24912815311394185,0.014055231541322905,0.9859447684586771,0.014154931567877853,0.0002905564703152052,1,0.0001452782351576026,0.9582849590327212,-0.04261009322390295,-3.042766781495582,-0.5,7.26391175788013e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:25,0.5042041431970603,0.3600580727865211,0.5542978409658479,0.26005165410597464,0.26005165410597464,0.010923500992032792,0.9890764990079672,0.010983590383941913,0.00011473834899058434,1,5.736917449529217e-05,0.9675306639771614,-0.03300816054720372,-3.0331324148298977,-0.5,2.8684587247646085e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:26,0.5054121582232033,0.3600580727865211,0.5542978409658479,0.26223101497816936,0.26223101497816936,0.0021793608721947244,0.9978206391278053,0.002181729113282867,5.9113870282043975e-05,1,2.9556935141021987e-05,0.9934468021535424,-0.006574764318671723,-3.006552352533471,-0.5,1.4778467570510994e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:27,0.4999041761131156,0.3600580727865211,0.5542978409658479,0.2522941512507369,0.2522941512507369,0.009936863727432466,0.9900631362725676,0.009986553773916839,5.6314551829591486e-05,1,2.8157275914795743e-05,0.9704573354040484,-0.029987838798397184,-3.0301097778391624,-0.5,1.4078637957397871e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:28,0.496676247969629,0.3600580727865211,0.5542978409658479,0.24647069695428495,0.24647069695428495,0.005823454296451952,0.9941765457035481,0.0058404666662409226,0.00015558088043762406,1,7.779044021881203e-05,0.9825547510261596,-0.01759921055609274,-3.0175726865658508,-0.5,3.8895220109406016e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:29,0.5041474697396188,0.3600580727865211,0.5542978409658479,0.25994941041449143,0.25994941041449143,0.013478713460206487,0.9865212865397935,0.013570365774994346,8.182814293053177e-05,1,4.091407146526588e-05,0.9600671666860866,-0.04075203166970555,-3.0409886038889162,-0.5,2.045703573263294e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:30,0.5073450197674327,0.3600580727865211,0.5542978409658479,0.26571806003117104,0.26571806003117104,0.005768649616679611,0.9942313503833204,0.005785342484383811,0.00019464654358630437,1,9.732327179315218e-05,0.9826980569807211,-0.017453370840986766,-3.0174063499238217,-0.5,4.866163589657609e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:31,0.4983434618855398,0.3600580727865211,0.5542978409658479,0.24947849130723737,0.24947849130723737,0.016239568723933673,0.9837604312760664,0.01637286555735377,0.00012747018871989182,1,6.373509435994591e-05,0.952007513303324,-0.04918235209657405,-3.0495229269808064,-0.5,3.1867547179972954e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:32,0.4928190690393503,0.3600580727865211,0.5542978409658479,0.23951202122941168,0.23951202122941168,0.009966470077825695,0.9900335299221743,0.010016457718104926,0.00040125795739797586,3,0.00010031448934949397,0.9703002611134736,-0.030149707845000116,-3.0302003914282976,-0.25,2.507862233737349e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:33,0.4968986523811311,0.3600580727865211,0.5542978409658479,0.24687193324832243,0.24687193324832243,0.007359912018910758,0.9926400879810893,0.007387119726445525,0.0001387129815186017,1,6.935649075930085e-05,0.9780145460282701,-0.022230735818385274,-3.0222434357103998,-0.5,3.4678245379650425e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:34,0.4959829170707062,0.3600580727865211,0.5542978409658479,0.2452198696053732,0.2452198696053732,0.0016520636429492308,0.9983479363570508,0.0016534197884064846,1.7814902054303262e-05,1,8.907451027151631e-06,0.9950431391344722,-0.0049691868493423694,-3.0049643823859458,-0.5,4.4537255135758155e-06,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:35,0.4867671929902615,0.3600580727865211,0.5542978409658479,0.22859392701756417,0.22859392701756417,0.01662594258780903,0.983374057412191,0.01676569468737768,0.0002432374199745125,1,0.00012161870998725626,0.9508312061349501,-0.05041872311026079,-3.050721103751282,-0.5,6.080935499362813e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:36,0.4885351219850737,0.3600580727865211,0.5542978409658479,0.23178341985724696,0.23178341985724696,0.0031894928396827837,0.9968105071603173,0.0031945800813371625,0.00013945809425365782,1,6.972904712682891e-05,0.9903929559998348,-0.009653489355132105,-3.009599084696953,-0.5,3.4864523563414455e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:37,0.48805240871349,0.3600580727865211,0.5542978409658479,0.23091256445080588,0.23091256445080588,0.000870855406441079,0.999129144593559,0.000871224812587353,7.027781649055535e-05,1,3.5138908245277674e-05,0.9973546717001947,-0.002648833363439478,-3.002614833350365,-0.5,1.7569454122638837e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:38,0.4769265551499035,0.3600580727865211,0.5542978409658479,0.21084058736318095,0.21084058736318095,0.020071977087624926,0.979928022912375,0.020276145817759005,0.00038555585532151423,1,0.00019277792766075712,0.9408032608628331,-0.061021235790599926,-3.0614493306120987,-0.5,9.638896383037856e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:39,0.4695231053326585,0.3600580727865211,0.5542978409658479,0.19748414021493893,0.19748414021493893,0.013356447148242023,0.986643552851758,0.013446436634923786,0.0008240982704327084,32,2.4972674861597226e-05,0.9604394845696235,-0.04036430285037785,-3.040611760135169,-0.030303030303030304,7.567477230787039e-07,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:40,0.4726071121906332,0.3600580727865211,0.5542978409658479,0.2030479483881783,0.2030479483881783,0.005563808173239371,0.9944361918267606,0.005579333749633866,0.0002893726706336595,1,0.00014468633531682974,0.9832590065857849,-0.016882707696117015,-3.016784801879642,-0.5,7.234316765841487e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:41,0.468023515794797,0.3600580727865211,0.5542978409658479,0.19477875436092135,0.19477875436092135,0.008269194027256954,0.991730805972743,0.008303563386844034,0.00011122705395733878,1,5.561352697866939e-05,0.975342757260106,-0.02496632385427344,-3.0250144210979113,-0.5,2.7806763489334696e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:42,0.469067578059552,0.3600580727865211,0.5542978409658479,0.19666233063994087,0.19666233063994087,0.0018835762790195276,0.9981164237209805,0.0018853424206539094,1.4999781534349452e-05,1,7.499890767174726e-06,0.9943524604586353,-0.005663547190471303,-3.005661382461895,-0.5,3.749945383587363e-06,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:43,0.4506429013847719,0.3600580727865211,0.5542978409658479,0.1634226617957043,0.1634226617957043,0.03323966884423657,0.9667603311557634,0.03380465172673979,0.0012194144877895566,38,3.126703814845017e-05,0.9035306527005649,-0.10144524290601836,-3.103147587848998,-0.02564102564102564,8.017189268833377e-07,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:44,0.4502157108425142,0.3600580727865211,0.5542978409658479,0.16265197407028698,0.16265197407028698,0.0007706877254173294,0.9992293122745827,0.0007709748501635971,0.0007298094418026008,43,1.658657822278638e-05,0.9976731801078128,-0.0023295311441390264,-3.002313836411859,-0.022727272727272728,3.7696768688150866e-07,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:45,0.4449709982357059,0.3600580727865211,0.5542978409658479,0.15319007070499593,0.15319007070499593,0.009461903365291041,0.9905380966347089,0.00950694146371692,0.0006946903065250565,1,0.00034734515326252825,0.9715445155668051,-0.028868189735458846,-3.028656848327964,-0.5,0.00017367257663126413,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:46,0.4354105224979554,0.3600580727865211,0.5542978409658479,0.13594216708500054,0.13594216708500054,0.017247903619995397,0.9827520963800046,0.01739837132962316,0.0005886938526736414,1,0.0002943469263368207,0.9488643018542946,-0.05248948126621837,-3.0526518344484277,-0.5,0.00014717346316841034,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:47,0.4424082212735781,0.3600580727865211,0.5542978409658479,0.14856660517306775,0.14856660517306775,0.012624438088067208,0.9873755619119328,0.012704793273077693,0.0001263834958450403,1,6.319174792252015e-05,0.9625419861256573,-0.038177591822872406,-3.0383575466066635,-0.5,3.1595873961260076e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:48,0.4406921238259076,0.3600580727865211,0.5542978409658479,0.1454706208107974,0.1454706208107974,0.0030959843622703487,0.9969040156377297,0.003100776805618724,5.3322152081705474e-05,1,2.6661076040852737e-05,0.9907143686702733,-0.009329011555008843,-3.009316787682721,-0.5,1.3330538020426368e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:49,0.4290290184621252,0.3600580727865211,0.5542978409658479,0.12442939621670593,0.12442939621670593,0.021041224594091468,0.9789587754059086,0.021265736003879404,0.00038596062722930856,1,0.00019298031361465428,0.9380141838123391,-0.06399020875512225,-3.064480410361635,-0.5,9.649015680732714e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:50,0.4377926738474368,0.3600580727865211,0.5542978409658479,0.1402397687955368,0.1402397687955368,0.01581037257883086,0.9841896274211691,0.01593667954170881,0.00011555529931505852,1,5.777764965752926e-05,0.9532597648078442,-0.04786783659607085,-3.04819305777292,-0.5,2.888882482876463e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:51,0.4305273474354146,0.3600580727865211,0.5542978409658479,0.12713250790604355,0.12713250790604355,0.013107260889493239,0.9868927391105068,0.0131939089681536,0.00017179782857925743,1,8.589891428962872e-05,0.9611088143543742,-0.03966764608437713,-3.039844018478726,-0.5,4.294945714481436e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:52,0.4255959651058598,0.3600580727865211,0.5542978409658479,0.11823587875633944,0.11823587875633944,0.008896629149704113,0.9911033708502959,0.008936430365226936,0.00020056028187210597,1,0.00010028014093605298,0.973449245713868,-0.026909591416146482,-3.0269294587651654,-0.5,5.014007046802649e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:53,0.4206150866946535,0.3600580727865211,0.5542978409658479,0.10924995450571043,0.10924995450571043,0.00898592425062901,0.991014075749371,0.009026531080739543,0.00045363371349057814,1,0.00022681685674528907,0.9730630198606594,-0.027306430280311867,-3.027202199563927,-0.5,0.00011340842837264454,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:54,0.4204669022491434,0.3600580727865211,0.5542978409658479,0.10898261728272601,0.10898261728272601,0.0002673372229844151,0.9997326627770156,0.0002673629612758209,0.0001383709489094138,1,6.91854744547069e-05,0.9991290851030868,-0.0008712943636301299,-3.0008022161265107,-0.5,3.459273722735345e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:55,0.403440864381549,0.3600580727865211,0.5542978409658479,0.07826621067012401,0.07826621067012401,0.030716406612602,0.969283593387398,0.031198033558356077,0.0011670214613940556,1,0.0005835107306970278,0.9101210812174227,-0.09417763203956127,-3.0950693998614036,-0.5,0.0002917553653485139,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:56,0.4120040757219593,0.3600580727865211,0.5542978409658479,0.09371496530624009,0.09371496530624009,0.015448754636116072,0.9845512453638839,0.015569319928153911,0.0002377003687032242,1,0.0001188501843516121,0.9542526309416455,-0.046826830282636414,-3.047073480397941,-0.5,5.942509217580605e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:57,0.409027971472557,0.3600580727865211,0.5542978409658479,0.08834582252874607,0.08834582252874607,0.005369142777494021,0.994630857222506,0.005383598372585999,0.00018543452236782827,1,9.271726118391414e-05,0.9838876822625798,-0.016243532486904234,-3.0161943681512855,-0.5,4.635863059195707e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:58,0.3921130433207388,0.3600580727865211,0.5542978409658479,0.057829867203456696,0.057829867203456696,0.03051595532528937,0.9694840446747106,0.03099125139217612,0.0008788693098496801,1,0.00043943465492484005,0.9108170642998458,-0.09341320946098289,-3.0944294608682883,-0.5,0.00021971732746242002,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:59,0.4023399262590238,0.3600580727865211,0.5542978409658479,0.07628002555237783,0.07628002555237783,0.01845015834892113,0.9815498416510788,0.01862247526551236,0.0002633229746653359,1,0.00013166148733266794,0.945539979633346,-0.05599910765980881,-3.0563908856259916,-0.5,6.583074366633397e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:60,0.3965359476926739,0.3600580727865211,0.5542978409658479,0.06580915928265425,0.06580915928265425,0.010470866269723572,0.9895291337302764,0.0105260613866112,0.0002270697775971084,1,0.0001135348887985542,0.9688051806553717,-0.03169173926026532,-3.031744986206637,-0.5,5.67674443992771e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:61,0.4007614933984202,0.3600580727865211,0.5542978409658479,0.07343239970225142,0.07343239970225142,0.007623240419597166,0.9923767595804028,0.007652435761320958,0.00010322059595107788,1,5.161029797553894e-05,0.9772537492986438,-0.023008937735574154,-3.0230453917417694,-0.5,2.580514898776947e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:62,0.3917345956001667,0.3600580727865211,0.5542978409658479,0.05714711563453001,0.05714711563453001,0.01628528406772141,0.9837147159322785,0.01641933663313454,0.00023543657308428988,1,0.00011771828654214494,0.9518234162604197,-0.04937574851704331,-3.0496646448856684,-0.5,5.885914327107247e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:63,0.3928271638763961,0.3600580727865211,0.5542978409658479,0.059118200844469886,0.059118200844469886,0.0019710852099398754,0.9980289147900602,0.0019730203350936566,8.451679688882282e-05,1,4.225839844441141e-05,0.9940563940847285,-0.005961339443224892,-3.005924924138405,-0.5,2.1129199222205705e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:64,0.3938393655273461,0.3600580727865211,0.5542978409658479,0.06094429789219837,0.06094429789219837,0.0018260970477284866,0.9981739029522715,0.001827756377218265,5.790197011464143e-05,1,2.8950985057320715e-05,0.9945029243661676,-0.005512240153300702,-3.0054883032973363,-0.5,1.4475492528660358e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:65,0.3856539646868023,0.3600580727865211,0.5542978409658479,0.046177145225175555,0.046177145225175555,0.014767152667022818,0.9852328473329772,0.014877262365191674,0.00016862665640498026,1,8.431332820249013e-05,0.9562689082308754,-0.04471612072354708,-3.0449654596566464,-0.5,4.2156664101245066e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:66,0.3939202661669859,0.3600580727865211,0.5542978409658479,0.06109024946130211,0.06109024946130211,0.014913104236126552,0.9850868957638734,0.015025412500113276,7.543698518841647e-05,1,3.7718492594208235e-05,0.9558885269906638,-0.04511397629571131,-3.0454166051211837,-0.5,1.8859246297104118e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:67,0.3894067712477123,0.3600580727865211,0.5542978409658479,0.05294752440321966,0.05294752440321966,0.008142725058082445,0.9918572749419176,0.008176048032938034,5.869679727334991e-05,1,2.9348398636674954e-05,0.9757415698098886,-0.02455751266164207,-3.024628709903414,-0.5,1.4674199318337477e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:68,0.3929914461209297,0.3600580727865211,0.5542978409658479,0.05941457985299591,0.05941457985299591,0.00646705544977625,0.9935329445502238,0.00648804738414359,7.328678345083307e-05,1,3.664339172541654e-05,0.980688105073107,-0.019500805674339098,-3.0195274413280853,-0.5,1.832169586270827e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:69,0.3871976612398829,0.3600580727865211,0.5542978409658479,0.04896210385029084,0.04896210385029084,0.010452476002705074,0.989547523997295,0.010507476692823389,9.074324917757496e-05,1,4.537162458878748e-05,0.9689252398606553,-0.03156782191431662,-3.0316886426776115,-0.5,2.268581229439374e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:70,0.3974287440789326,0.3600580727865211,0.5542978409658479,0.06741983917399749,0.06741983917399749,0.018457735323706655,0.9815422646762934,0.018630194694146306,0.0002047400216336551,1,0.00010237001081682755,0.9455457788279094,-0.055992974469352044,-3.0564144793085357,-0.5,5.1185005408413774e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:71,0.3954134682940171,0.3600580727865211,0.5542978409658479,0.06378411188809657,0.06378411188809657,0.0036357272859009193,0.9963642727140991,0.0036423425693053904,8.400108179199775e-05,1,4.200054089599887e-05,0.9890908923246137,-0.010969048321791918,-3.010946972024091,-0.5,2.1000270447999437e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:72,0.3918684588739747,0.3600580727865211,0.5542978409658479,0.057388616257326476,0.057388616257326476,0.006395495630770097,0.9936045043692299,0.006416024365951568,7.08446363043569e-05,1,3.542231815217845e-05,0.9809012220718263,-0.019283515544739952,-3.0193099736782205,-0.5,1.7711159076089226e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:73,0.3981607116685544,0.3600580727865211,0.5542978409658479,0.0687403703677441,0.0687403703677441,0.011351754110417618,0.9886482458895823,0.011416666950185462,5.172354071137303e-05,1,2.5861770355686514e-05,0.9663048809156903,-0.03427588285055394,-3.034446277891047,-0.5,1.2930885177843257e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:74,0.4036308881902017,0.3600580727865211,0.5542978409658479,0.07860902962882962,0.07860902962882962,0.00986865926108553,0.9901313407389145,0.009917667140329251,0.0002558248550961268,1,0.0001279124275480634,0.9705610874490755,-0.029880934047876156,-3.029901050965089,-0.5,6.39562137740317e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:75,0.4087855288539216,0.3600580727865211,0.5542978409658479,0.08790843562099097,0.08790843562099097,0.00929940599216135,0.9907005940078386,0.009342905325495749,0.0004617843504501624,1,0.0002308921752250812,0.9721359399942718,-0.02825962833944615,-3.028160079896326,-0.5,0.0001154460876125406,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:76,0.3908162874240561,0.3600580727865211,0.5542978409658479,0.05549041032514169,0.05549041032514169,0.032418025295849286,0.9675819747041507,0.03295511895602148,0.0005869867879072457,1,0.00029349339395362285,0.9055988232651362,-0.09915887093210145,-3.100512481725567,-0.5,0.00014674669697681142,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:77,0.4080181456533318,0.3600580727865211,0.5542978409658479,0.08652401168159282,0.08652401168159282,0.031033601356451133,0.9689663986435488,0.031525333694780104,0.00034254932789688926,1,0.00017127466394844463,0.9096027653309848,-0.09474729638883923,-3.09608258230352,-0.5,8.563733197422232e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:78,0.4082017215224366,0.3600580727865211,0.5542978409658479,0.08685519801416983,0.08685519801416983,0.0003311863325770048,0.999668813667423,0.00033123118356915204,0.0003283229668737064,1,0.0001641614834368532,0.9988427950378875,-0.0011578750407700838,-3.0009938781512773,-0.5,8.20807417184266e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
idx:79,0.4077573330913421,0.3600580727865211,0.5542978409658479,0.08605348384851445,0.08605348384851445,0.0008017141656553733,0.9991982858343447,0.0008020257023028952,0.0003116552017467344,1,0.0001558276008733672,0.9974413542045959,-0.002561924723829079,-3.0024070622628543,-0.5,7.79138004366836e-05,Stable,0,0,regime:Stable;near_wall:0;oor:0
